47 qid:1 1:97.2063
67 qid:1 1:66.144806
71 qid:1 1:57.23083
4 qid:1 1:46.912994
37 qid:1 1:45.988297
82 qid:1 1:42.987297
150 qid:1 1:42.499416
135 qid:1 1:42.47659
54 qid:1 1:41.605366
140 qid:1 1:40.70889
196 qid:1 1:40.6031
38 qid:1 1:40.39822
169 qid:1 1:38.92012
81 qid:1 1:37.30186
69 qid:1 1:37.188663
17 qid:1 1:37.065166
42 qid:1 1:36.055714
109 qid:1 1:36.007885
173 qid:1 1:35.97918
147 qid:1 1:34.59123
87 qid:1 1:33.76613
65 qid:1 1:32.41352
57 qid:1 1:31.410284
97 qid:1 1:31.144531
146 qid:1 1:30.011208
104 qid:1 1:29.77178
137 qid:1 1:29.708332
170 qid:1 1:29.29591
27 qid:1 1:28.455156
115 qid:1 1:26.59714
144 qid:1 1:26.47186
157 qid:1 1:26.32571
159 qid:1 1:25.873299
181 qid:1 1:25.796663
149 qid:1 1:25.720953
198 qid:1 1:25.188307
89 qid:1 1:25.02184
90 qid:1 1:24.750303
177 qid:1 1:24.443565
22 qid:1 1:24.052372
179 qid:1 1:23.938662
29 qid:1 1:23.169855
143 qid:1 1:23.14696
93 qid:1 1:22.631567
151 qid:1 1:22.246084
1 qid:1 1:21.797287
55 qid:1 1:21.708569
31 qid:1 1:21.542473
178 qid:1 1:21.438314
99 qid:1 1:21.416157
94 qid:1 1:21.228981
172 qid:1 1:21.213936
111 qid:1 1:21.084385
53 qid:1 1:20.834034
35 qid:1 1:20.646448
56 qid:1 1:20.567385
167 qid:1 1:19.821514
191 qid:1 1:19.80189
33 qid:1 1:19.71594
16 qid:1 1:19.535185
161 qid:1 1:19.48411
52 qid:1 1:18.457912
182 qid:1 1:18.291973
165 qid:1 1:18.169502
152 qid:1 1:18.125675
166 qid:1 1:18.120459
156 qid:1 1:18.03133
163 qid:1 1:18.009129
70 qid:1 1:17.79199
126 qid:1 1:17.752043
164 qid:1 1:17.725409
78 qid:1 1:17.713505
10 qid:1 1:17.235775
190 qid:1 1:16.993956
134 qid:1 1:16.808622
6 qid:1 1:16.788795
23 qid:1 1:16.755299
74 qid:1 1:16.568518
83 qid:1 1:16.517038
18 qid:1 1:16.297781
5 qid:1 1:16.257004
120 qid:1 1:15.276978
8 qid:1 1:15.247829
171 qid:1 1:15.137396
112 qid:1 1:14.645645
39 qid:1 1:14.549494
187 qid:1 1:14.396767
61 qid:1 1:14.098265
28 qid:1 1:13.47019
113 qid:1 1:13.377434
102 qid:1 1:13.111715
186 qid:1 1:13.069547
189 qid:1 1:13.05199
128 qid:1 1:12.732739
50 qid:1 1:12.52909
168 qid:1 1:12.469334
123 qid:1 1:12.391314
174 qid:1 1:12.05336
183 qid:1 1:11.96863
145 qid:1 1:11.824745
41 qid:1 1:11.792164
116 qid:1 1:11.76489
124 qid:1 1:11.592266
72 qid:1 1:11.03615
101 qid:1 1:10.9275255
141 qid:1 1:10.914695
84 qid:1 1:10.876991
193 qid:1 1:10.865504
188 qid:1 1:10.858543
155 qid:1 1:10.851936
